date,visitors,pageviews,bounce_rate,visit_duration
2021-07-01,31,79,67,160
2021-07-02,31,62,67,82
2021-07-03,14,19,80,33
2021-07-04,13,27,77,149
2021-07-05,28,82,59,220
2021-07-06,25,42,62,30
2021-07-07,26,41,74,27
2021-07-08,30,51,77,83
2021-07-09,28,48,65,29
2021-07-10,14,32,71,64
2021-07-11,16,63,62,176
2021-07-12,34,56,70,45
2021-07-13,25,56,62,74
2021-07-14,24,46,76,72
2021-07-15,26,42,79,33
2021-07-16,30,61,71,55
2021-07-17,15,29,56,243
2021-07-18,13,15,93,3
2021-07-19,29,48,73,33
2021-07-20,25,34,83,59
2021-07-21,25,33,76,152
2021-07-22,45,59,83,37
2021-07-23,21,36,68,113
2021-07-24,11,18,62,24
2021-07-25,6,12,67,313
2021-07-26,27,41,76,65
2021-07-27,35,62,66,96
2021-07-28,73,118,74,63
2021-07-29,35,60,69,118
2021-07-30,32,65,67,100
2021-07-31,18,30,79,87
2021-08-01,10,16,64,106
