date,visitors,pageviews,bounce_rate,visit_duration
2021-08-27,29,63,60,173
2021-08-28,18,49,61,156
2021-08-29,11,41,45,261
2021-08-30,25,75,83,45
2021-08-31,30,57,66,64
2021-09-01,24,57,62,144
2021-09-02,31,44,85,47
2021-09-03,29,47,77,63
2021-09-04,15,20,94,12
2021-09-05,15,28,47,170
2021-09-06,24,35,71,72
2021-09-07,30,82,55,166
2021-09-08,31,57,82,45
2021-09-09,27,44,69,49
2021-09-10,35,79,56,47
2021-09-11,16,32,50,177
2021-09-12,20,34,57,89
2021-09-13,47,82,81,86
2021-09-14,32,71,71,74
2021-09-15,42,163,74,137
2021-09-16,36,152,55,259
2021-09-17,37,116,56,266
2021-09-18,19,30,63,66
2021-09-19,21,47,64,54
2021-09-20,23,45,64,95
2021-09-21,19,45,64,83
2021-09-22,31,51,76,81
2021-09-23,32,44,82,29
2021-09-24,21,57,79,105
2021-09-25,19,38,68,44
2021-09-26,15,42,64,54
