"United States",4855
"Germany",1756
"United Kingdom",889
"Canada",597
"France",566
"Italy",471
"Argentina",450
"Japan",437
"Australia",417
"Brazil",367
"Belgium",362
"Switzerland",345
"India",336
"Spain",288
"Netherlands",219
"Portugal",168
"Austria",167
"Poland",143
"Singapore",135
"Mexico",120
"Russia",118
"Finland",115
"Turkey",115
"South Korea",102
"Romania",102
"Sweden",97
"Israel",97
"Taiwan",95
"Ukraine",89
"Chile",87
"Denmark",81
"Nigeria",73
"Norway",69
"Czech Republic",69
"Tanzania",66
"Slovenia",59
"Greece",56
"Colombia",56
"Hungary",53
"Hong Kong SAR China",41
"Ireland",39
"Slovakia",38
"Bangladesh",33
"New Zealand",32
"Malaysia",29
"Egypt",28
"Pakistan",27
"Thailand",27
"Kenya",26
"Croatia",25
"Indonesia",24
"Paraguay",23
"South Africa",20
"Vietnam",19
"Costa Rica",19
"European Union",19
"Philippines",14
"Serbia",14
"Tunisia",11
"Bulgaria",11
"Sri Lanka",11
"Saudi Arabia",10
"Peru",10
"Puerto Rico",9
"Malta",9
"Bolivia",9
"St. Vincent & Grenadines",8
"Cameroon",8
"Iceland",7
"United Arab Emirates",7
"Lithuania",7
"Albania",7
"Ethiopia",6
"Latvia",6
"Zambia",5
"Algeria",5
"Venezuela",5
"Estonia",5
"Morocco",5
"Belarus",4
"Ecuador",4
"Panama",4
"El Salvador",3
"Georgia",3
"Jordan",3
"Réunion",2
"Zimbabwe",2
"Mongolia",2
"Afghanistan",2
"China",2
"Cyprus",2
"Macedonia",2
"Botswana",1
"Mauritius",1
"Qatar",1
"Dominican Republic",1
"Oman",1
"Kuwait",1
"Nicaragua",1
"Uruguay",1
"Åland Islands",1
"Cuba",1
"Liechtenstein",1
"Uzbekistan",1
"Luxembourg",1
"Ghana",1
"Armenia",1
"Palestinian Territories",1
"Iraq",1
"Trinidad & Tobago",1
